,books,urls
0,"""I have a dream""",www.blinkist.com/en/books/i-have-a-dream-de
1,#Education For Future,www.blinkist.com/en/books/number-education-for-future-de
2,#GIRLBOSS,www.blinkist.com/en/books/number-girlboss-en
3,#NeverAgain,www.blinkist.com/en/books/number-neveragain-en
4,#Upcycle Your Job,www.blinkist.com/en/books/number-upcycle-your-job-en
5,#gemeckerfrei,www.blinkist.com/en/books/number-gemeckerfrei-de
6,10 Days to Faster Reading,www.blinkist.com/en/books/10-days-to-faster-reading-en
7,10 Kräuter gegen 100 Krankheiten,www.blinkist.com/en/books/10-krauter-gegen-100-krankheiten-de
8,10% Happier,www.blinkist.com/en/books/10-percent-happier-en
9,100 Million Years Of Food,www.blinkist.com/en/books/100-million-years-of-food-en
10,100 Things Every Designer Needs to Know About People,www.blinkist.com/en/books/100-things-every-designer-needs-to-know-about-people-en
11,100+,www.blinkist.com/en/books/100-plus-en
12,10xDNA,www.blinkist.com/en/books/10xdna-de
13,"11 Managementsünden, die Sie vermeiden sollten",www.blinkist.com/en/books/11-managementsunden-die-sie-vermeiden-sollten-de
14,12 Rules For Life,www.blinkist.com/en/books/12-rules-for-life-en
15,12 Rules For Life,www.blinkist.com/en/books/12-rules-for-life-de
16,121 First Dates,www.blinkist.com/en/books/121-first-dates-en
17,13 Things Mentally Strong Parents Don't Do,www.blinkist.com/en/books/13-things-mentally-strong-parents-dont-do-en
18,13 Things Mentally Strong People Don't Do,www.blinkist.com/en/books/13-things-mentally-strong-people-dont-do-en
19,15 Secrets Successful People Know About Time Management,www.blinkist.com/en/books/15-secrets-successful-people-know-about-time-management-en-kevin-kruse
20,168 Hours,www.blinkist.com/en/books/168-hours-en
21,18 Minutes,www.blinkist.com/en/books/18-minutes-en
22,2030,www.blinkist.com/en/books/2030-en
23,2030,www.blinkist.com/en/books/2030-de
24,21 Days to a Big Idea,www.blinkist.com/en/books/21-days-to-a-big-idea-en
25,21 Lektionen für das 21. Jahrhundert,www.blinkist.com/en/books/21-lektionen-fur-das-21-jahrhundert-de
26,21 Lessons for the 21st Century,www.blinkist.com/en/books/21-lessons-for-the-21st-century-en
27,21st Century Investing,www.blinkist.com/en/books/21st-century-investing-en
